hsn8,description,category,rate,aliases,source
03032200,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO)",chapter_03,,,gst_official_hsn_mstr
03032300,TILAPIAS (OREOCHROMIS SPP.),chapter_03,,,gst_official_hsn_mstr
03032400,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",chapter_03,,,gst_official_hsn_mstr
03032500,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS,CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI,LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)",chapter_03,,,gst_official_hsn_mstr
03032600,EELS (ANGUILLA SPP.),chapter_03,,,gst_official_hsn_mstr
03032900,OTHER,chapter_03,,,gst_official_hsn_mstr
03033100,"HALIBUT (RHEINHARDTIUS HIPPOGLOSSOIDES, HIPPOG-LOSSUS HIPPOGLOSSUS,HIPPOGLOSSUS STENOLEPIS)",chapter_03,,,gst_official_hsn_mstr
03033200,PLAICE (PLEURONECTES PLATESSA),chapter_03,,,gst_official_hsn_mstr
03033300,SOLE (SOLEA SPP.),chapter_03,,,gst_official_hsn_mstr
03033400,Turbots (Psetta maxima),chapter_03,,,gst_official_hsn_mstr
03033900,OTHER,chapter_03,,,gst_official_hsn_mstr
03034100,ALBACORE OR LONG FINNED TUNAS (THUNNUS ALALUNGA),chapter_03,,,gst_official_hsn_mstr
03034200,YELLOWFIN TUNAS (THUNNUS ALBACARES),chapter_03,,,gst_official_hsn_mstr
03034300,SKIPJACK TUNA (STRIPE-BELLIED BONITO (KATSUWONUSPELAMIS),chapter_03,,,gst_official_hsn_mstr
03034400,BIGEYE TUNAS (THUNNUS OBESUS),chapter_03,,,gst_official_hsn_mstr
03034500,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",chapter_03,,,gst_official_hsn_mstr
03034600,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),chapter_03,,,gst_official_hsn_mstr
03034900,OTHER,chapter_03,,,gst_official_hsn_mstr
03035000,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), EXCLUDING LIVERS AND ROES",chapter_03,,,gst_official_hsn_mstr
03035100,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)",chapter_03,,,gst_official_hsn_mstr
